"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","70721.36","9.529","3.536","8.943","15.047","20.223","32.351"
"PING_MBULK","74962.52","8.964","3.680","8.719","11.823","12.887","33.471"
"SET","75187.97","9.045","2.632","8.839","11.631","12.367","38.111"
"GET","78064.01","9.210","2.416","9.239","11.183","11.535","15.975"
"INCR","77519.38","9.022","2.296","9.007","11.359","12.791","19.695"
"LPUSH","72098.05","9.628","2.584","9.551","12.255","13.303","26.127"
"RPUSH","69589.42","9.823","4.096","9.663","12.783","14.575","16.895"
"LPOP","56721.50","12.160","3.912","10.399","19.119","37.311","73.407"
"RPOP","73099.41","9.207","3.584","9.079","12.215","12.871","15.871"
"SADD","77041.60","8.823","3.304","8.751","11.527","12.439","22.415"
"HSET","76045.62","9.059","1.984","9.023","11.655","12.343","14.231"
"SPOP","78247.26","9.105","2.296","9.087","11.207","12.463","18.911"
"ZADD","73206.44","9.283","3.432","9.063","12.063","13.191","33.919"
"ZPOPMIN","77339.52","8.888","3.648","8.847","11.447","12.151","13.831"
"LPUSH (needed to benchmark LRANGE)","72306.58","9.359","3.464","9.223","12.327","13.223","18.719"
"LRANGE_100 (first 100 elements)","28522.53","18.598","3.672","17.087","29.839","40.831","70.463"
"LRANGE_300 (first 300 elements)","7417.30","42.852","3.408","48.287","67.519","76.863","103.295"
"LRANGE_500 (first 500 elements)","5556.48","45.305","2.168","44.799","81.599","96.639","212.735"
"LRANGE_600 (first 600 elements)","4521.61","58.571","3.592","56.255","105.663","179.711","230.655"
"MSET (10 keys)","57537.40","11.705","4.216","10.887","18.751","22.799","33.375"
"XADD","70372.98","9.607","3.656","9.487","12.607","13.335","13.975"
