"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","63131.31","10.713","4.568","9.783","16.767","28.463","36.383"
"PING_MBULK","77399.38","8.647","3.592","8.495","11.391","12.559","27.567"
"SET","70175.44","10.224","3.224","9.511","16.247","25.407","47.071"
"GET","76745.97","9.099","2.528","8.999","11.383","12.439","31.071"
"INCR","78740.16","9.157","2.216","9.151","11.111","11.463","12.399"
"LPUSH","73206.44","9.214","3.896","9.071","12.135","12.927","20.847"
"RPUSH","59206.63","11.466","3.536","10.455","17.887","20.207","37.439"
"LPOP","73855.24","9.139","3.544","8.975","12.055","12.983","22.463"
"RPOP","73800.73","9.167","2.600","8.959","11.871","12.655","33.759"
"SADD","76982.29","8.943","3.808","8.895","11.447","12.327","14.583"
"HSET","71530.76","9.431","3.144","9.111","12.623","18.079","33.151"
"SPOP","68540.09","9.897","3.904","9.215","15.527","18.223","20.047"
"ZADD","72516.32","9.215","3.568","8.983","12.207","13.807","33.439"
"ZPOPMIN","77160.49","8.765","3.800","8.559","11.391","12.583","33.055"
"LPUSH (needed to benchmark LRANGE)","72463.77","9.387","3.888","9.271","12.279","13.479","19.039"
"LRANGE_100 (first 100 elements)","30599.76","14.337","2.592","14.935","19.631","42.079","61.823"
"LRANGE_300 (first 300 elements)","10605.58","19.503","2.440","7.519","55.103","68.863","89.727"
"LRANGE_500 (first 500 elements)","5933.66","40.191","2.536","38.335","79.615","95.167","145.023"
"LRANGE_600 (first 600 elements)","5119.80","46.573","2.144","47.839","81.023","160.511","261.631"
"MSET (10 keys)","59952.04","11.322","3.160","11.239","15.103","17.375","22.127"
"XADD","65919.58","10.263","2.992","10.047","13.439","15.823","32.991"
