"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","65445.03","10.303","3.832","9.215","16.879","24.639","34.207"
"PING_MBULK","79744.82","8.909","3.768","8.871","10.999","11.607","19.519"
"SET","67340.07","10.355","2.520","9.111","16.895","29.951","93.503"
"GET","77459.34","8.936","3.464","8.887","11.399","12.255","21.887"
"INCR","76569.68","8.741","2.368","8.511","11.471","12.287","33.919"
"LPUSH","73909.83","9.184","1.992","9.103","12.015","12.695","13.415"
"RPUSH","65746.22","10.326","3.728","10.183","13.655","14.687","16.575"
"LPOP","73475.39","9.167","3.672","9.039","12.103","12.983","15.951"
"RPOP","73367.57","9.147","3.624","8.911","12.007","12.751","31.679"
"SADD","66979.23","10.420","1.976","9.847","14.743","18.799","36.767"
"HSET","72780.20","9.297","2.520","9.183","12.271","13.191","19.023"
"SPOP","69686.41","9.672","3.576","9.247","13.999","18.399","28.639"
"ZADD","73691.97","9.086","3.736","8.895","11.967","12.751","27.343"
"ZPOPMIN","74794.31","8.977","3.584","8.839","11.887","12.935","14.479"
"LPUSH (needed to benchmark LRANGE)","73475.39","9.131","3.440","9.015","12.079","12.751","15.183"
"LRANGE_100 (first 100 elements)","31046.26","14.072","2.848","14.527","19.071","42.143","63.839"
"LRANGE_300 (first 300 elements)","7821.05","37.514","2.528","39.679","64.831","76.031","104.127"
"LRANGE_500 (first 500 elements)","5939.30","39.715","3.520","40.639","66.751","94.911","221.951"
"LRANGE_600 (first 600 elements)","5132.42","46.293","2.288","45.535","80.831","170.111","194.431"
"MSET (10 keys)","58513.75","11.439","2.816","11.239","15.279","17.599","29.119"
"XADD","60532.69","11.151","4.048","10.583","16.175","25.327","34.655"
