"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","65231.57","10.335","4.056","9.335","16.591","25.471","35.199"
"PING_MBULK","78616.35","8.899","2.896","8.887","11.175","12.039","12.943"
"SET","75244.55","9.081","4.096","9.007","11.783","12.623","17.471"
"GET","76161.46","8.978","3.208","8.927","11.679","12.351","13.599"
"INCR","55710.31","12.526","3.472","11.111","20.943","34.687","72.383"
"LPUSH","57175.53","11.888","4.072","11.159","18.463","23.151","34.815"
"RPUSH","67430.88","10.018","3.560","9.407","15.527","19.359","34.975"
"LPOP","70921.98","9.427","3.792","9.231","12.463","13.687","27.903"
"RPOP","74019.25","9.107","3.560","8.983","12.055","12.775","16.943"
"SADD","76219.51","9.047","3.576","8.991","11.447","12.335","25.887"
"HSET","74404.77","9.209","2.568","9.055","11.807","12.711","33.535"
"SPOP","78064.01","9.196","2.496","9.191","11.215","11.647","12.903"
"ZADD","74962.52","9.100","3.216","9.015","11.879","12.503","15.759"
"ZPOPMIN","74019.25","9.433","3.840","9.295","11.983","13.583","17.071"
"LPUSH (needed to benchmark LRANGE)","69735.01","9.591","3.712","9.383","12.703","14.319","28.047"
"LRANGE_100 (first 100 elements)","30084.24","14.877","3.040","15.183","24.303","37.119","60.735"
"LRANGE_300 (first 300 elements)","13471.64","8.802","2.328","7.399","18.527","42.367","86.975"
"LRANGE_500 (first 500 elements)","5626.20","47.157","3.224","45.727","85.695","96.383","157.183"
"LRANGE_600 (first 600 elements)","4673.12","54.461","3.824","51.999","98.367","194.175","231.679"
"MSET (10 keys)","57372.34","11.736","6.816","10.919","18.879","22.303","26.655"
"XADD","66137.57","10.179","3.472","10.023","13.471","15.039","20.271"
