"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","66137.57","10.114","3.864","9.111","17.151","21.871","29.215"
"PING_MBULK","78554.59","8.930","3.736","8.831","11.063","11.975","31.583"
"SET","65832.78","10.598","2.312","9.247","18.431","26.207","104.959"
"GET","77399.38","9.068","3.704","9.047","11.375","12.271","20.975"
"INCR","77220.08","9.286","2.944","9.183","11.207","11.623","31.679"
"LPUSH","70372.98","9.598","2.920","9.335","12.519","14.615","37.183"
"RPUSH","72674.41","9.282","3.304","9.151","12.255","13.111","17.695"
"LPOP","67249.50","10.068","3.728","9.503","14.607","24.543","37.215"
"RPOP","70721.36","9.476","3.672","9.247","12.487","14.023","30.943"
"SADD","71326.68","9.441","3.616","9.007","13.855","18.543","31.055"
"HSET","72833.21","9.184","3.728","8.903","12.183","18.959","32.415"
"SPOP","73475.39","9.124","3.544","8.847","12.039","13.615","36.223"
"ZADD","74738.41","8.932","3.832","8.791","11.871","12.727","21.807"
"ZPOPMIN","77399.38","9.250","2.376","9.111","11.167","11.783","35.551"
"LPUSH (needed to benchmark LRANGE)","73909.83","9.157","2.032","9.055","12.007","12.687","13.399"
"LRANGE_100 (first 100 elements)","31486.14","13.834","3.296","14.223","19.055","29.855","66.687"
"LRANGE_300 (first 300 elements)","13524.48","8.961","2.264","7.343","22.463","43.391","110.143"
"LRANGE_500 (first 500 elements)","5275.10","54.840","3.200","61.343","87.423","103.167","162.815"
"LRANGE_600 (first 600 elements)","4924.41","52.382","3.592","50.175","96.575","263.423","328.191"
"MSET (10 keys)","57836.90","11.673","3.856","11.031","17.823","23.535","41.599"
"XADD","66889.63","10.088","3.744","9.943","13.295","15.063","16.783"
