"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","67159.17","10.078","3.928","9.159","16.399","20.847","27.631"
"PING_MBULK","71633.23","9.427","1.952","8.687","15.623","22.767","32.287"
"SET","73637.70","9.453","3.608","9.127","12.047","23.983","34.943"
"GET","78125.00","9.200","3.968","9.183","11.199","11.591","14.847"
"INCR","78369.91","9.171","4.104","9.135","11.159","11.591","16.351"
"LPUSH","72886.30","9.288","3.760","9.151","12.207","12.959","20.511"
"RPUSH","72833.21","9.232","3.576","9.015","12.215","13.327","29.215"
"LPOP","72046.11","9.305","3.776","9.047","12.239","13.319","35.839"
"RPOP","73746.31","9.156","3.696","8.927","12.015","12.847","30.143"
"SADD","75815.01","9.248","2.608","9.127","11.535","12.959","32.303"
"HSET","76335.88","9.252","3.224","9.255","11.487","12.071","13.927"
"SPOP","78003.12","9.172","2.920","9.119","11.159","11.767","26.383"
"ZADD","74183.98","9.114","2.608","9.007","11.847","12.943","27.039"
"ZPOPMIN","78186.08","9.184","3.856","9.159","11.199","11.671","17.215"
"LPUSH (needed to benchmark LRANGE)","72939.46","9.322","3.816","9.199","12.175","12.895","19.135"
"LRANGE_100 (first 100 elements)","30193.24","17.454","3.328","16.023","30.991","47.487","56.991"
"LRANGE_300 (first 300 elements)","14261.27","7.602","2.352","7.071","9.687","33.407","95.103"
"LRANGE_500 (first 500 elements)","6007.45","40.240","2.096","42.143","64.095","73.471","158.079"
"LRANGE_600 (first 600 elements)","5097.36","42.907","2.840","44.287","78.463","159.615","186.239"
"MSET (10 keys)","61425.06","10.951","2.992","10.775","14.319","16.655","30.767"
"XADD","67934.78","9.906","4.760","9.759","13.055","14.119","16.183"
