"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","62735.26","10.739","4.240","9.655","17.567","25.151","40.159"
"PING_MBULK","73046.02","9.181","3.792","8.919","12.311","14.799","29.791"
"SET","63451.78","11.025","2.344","9.775","15.295","26.735","135.935"
"GET","76219.51","9.323","3.296","9.239","11.335","12.903","27.151"
"INCR","77220.08","8.719","3.920","8.591","11.559","12.207","15.703"
"LPUSH","72098.05","9.394","2.480","9.303","12.215","13.087","24.095"
"RPUSH","68775.79","9.783","3.320","9.231","14.903","19.775","36.575"
"LPOP","74239.05","9.063","3.576","8.927","12.031","12.743","18.927"
"RPOP","71633.23","9.367","3.680","8.975","12.775","18.879","28.847"
"SADD","72833.21","9.314","3.344","8.975","12.615","19.807","36.607"
"HSET","68119.89","9.923","4.344","9.247","15.359","19.055","37.727"
"SPOP","78125.00","8.588","3.328","8.439","11.503","12.367","15.895"
"ZADD","76103.50","8.936","2.920","8.863","11.679","12.343","14.087"
"ZPOPMIN","70571.62","9.508","2.888","9.311","12.623","13.959","22.351"
"LPUSH (needed to benchmark LRANGE)","73529.41","9.139","3.048","8.991","12.087","12.815","19.199"
"LRANGE_100 (first 100 elements)","30048.08","14.337","2.856","14.567","21.087","42.303","59.423"
"LRANGE_300 (first 300 elements)","10363.77","22.089","2.192","10.383","61.663","70.975","104.319"
"LRANGE_500 (first 500 elements)","5863.04","41.530","1.976","44.511","64.799","75.647","151.295"
"LRANGE_600 (first 600 elements)","5046.17","48.414","2.208","49.823","77.759","163.327","333.311"
"MSET (10 keys)","57339.45","11.773","3.064","11.639","15.431","17.023","18.687"
"XADD","63532.40","10.604","3.696","10.423","14.071","15.663","22.495"
