"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","67114.09","10.009","3.808","9.111","16.247","19.375","26.671"
"PING_MBULK","78492.93","8.582","3.224","8.463","11.423","12.111","14.039"
"SET","76687.12","9.220","3.960","9.215","11.439","11.911","12.751"
"GET","62500.00","10.760","2.272","10.119","16.735","19.071","30.143"
"INCR","71890.73","9.342","3.832","9.111","12.375","14.871","28.751"
"LPUSH","69881.20","9.663","3.624","9.535","12.871","14.327","20.175"
"RPUSH","71377.59","9.391","3.616","9.199","12.303","13.767","30.831"
"LPOP","69541.03","9.742","4.280","9.583","12.807","13.791","22.799"
"RPOP","68212.83","9.877","3.616","9.455","13.967","19.423","32.735"
"SADD","72046.11","9.326","3.616","9.039","12.343","14.143","37.631"
"HSET","70921.98","9.424","3.544","9.191","12.503","14.807","31.519"
"SPOP","62305.30","10.963","2.816","10.031","17.503","29.103","34.783"
"ZADD","67476.38","10.094","3.688","9.975","13.119","14.295","15.559"
"ZPOPMIN","70472.16","9.514","3.728","9.271","12.511","14.159","33.215"
"LPUSH (needed to benchmark LRANGE)","66979.23","9.943","3.680","9.847","13.231","14.383","18.783"
"LRANGE_100 (first 100 elements)","27793.22","18.853","3.720","16.991","34.111","47.423","64.095"
"LRANGE_300 (first 300 elements)","12399.26","11.324","2.456","7.759","38.015","48.223","111.167"
"LRANGE_500 (first 500 elements)","5651.31","42.707","3.312","45.407","68.863","83.903","152.575"
"LRANGE_600 (first 600 elements)","4890.69","49.911","2.432","48.895","90.943","184.063","338.687"
"MSET (10 keys)","60132.29","11.210","3.528","11.103","14.631","15.695","16.863"
"XADD","63251.11","10.658","4.152","10.399","14.103","16.031","32.863"
