"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","64724.92","10.351","3.312","9.687","16.463","20.031","26.719"
"PING_MBULK","77339.52","8.975","3.768","8.911","11.247","12.143","26.351"
"SET","67659.00","10.394","3.312","9.487","13.023","27.247","85.503"
"GET","76219.51","8.957","3.568","8.959","11.575","12.519","17.695"
"INCR","77041.60","8.944","3.608","8.871","11.527","13.127","21.647"
"LPUSH","72833.21","9.269","2.040","9.151","12.215","12.967","14.175"
"RPUSH","72516.32","9.302","3.656","9.167","12.303","13.223","16.511"
"LPOP","73583.52","9.117","3.592","8.983","12.111","12.855","18.751"
"RPOP","73475.39","9.149","3.520","8.911","11.999","12.767","33.983"
"SADD","76745.97","9.122","3.632","9.031","11.335","12.279","31.743"
"HSET","74515.65","9.038","3.096","8.831","11.863","12.767","31.167"
"SPOP","74128.98","9.108","3.528","8.943","11.983","13.615","28.271"
"ZADD","73152.89","9.231","3.560","9.087","12.175","13.311","18.703"
"ZPOPMIN","77821.02","8.949","3.336","8.951","11.367","12.119","13.567"
"LPUSH (needed to benchmark LRANGE)","70921.98","9.410","2.704","9.231","12.479","13.687","27.887"
"LRANGE_100 (first 100 elements)","28066.24","17.570","2.824","15.959","31.855","44.415","56.991"
"LRANGE_300 (first 300 elements)","13923.70","7.766","2.384","7.047","11.383","38.463","87.615"
"LRANGE_500 (first 500 elements)","5462.39","50.189","1.992","50.143","91.199","100.415","232.447"
"LRANGE_600 (first 600 elements)","4406.06","60.384","3.448","60.031","108.799","163.583","273.407"
"MSET (10 keys)","59241.71","11.330","4.112","11.143","14.903","17.247","29.535"
"XADD","63694.27","10.618","3.632","10.199","15.151","20.559","31.935"
