"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","65832.78","10.115","3.648","9.271","16.431","19.199","32.831"
"PING_MBULK","78926.60","8.662","2.536","8.631","11.207","12.087","18.239"
"SET","74404.77","9.569","2.416","9.327","11.535","24.511","34.655"
"GET","78802.20","9.131","1.968","9.111","11.119","11.511","12.415"
"INCR","78064.01","9.171","3.792","9.127","11.207","11.863","19.183"
"LPUSH","72674.41","9.344","2.704","9.239","12.231","13.119","20.079"
"RPUSH","72150.07","9.248","3.616","9.055","12.223","13.159","27.151"
"LPOP","73046.02","9.151","3.640","8.991","12.103","13.071","22.559"
"RPOP","75471.70","8.962","3.056","8.847","11.807","12.463","13.663"
"SADD","68259.38","9.930","2.400","9.247","15.695","21.775","35.295"
"HSET","74183.98","9.069","3.696","8.815","11.887","12.647","35.903"
"SPOP","74460.16","9.591","2.264","9.239","13.263","18.735","32.351"
"ZADD","69881.20","9.700","2.248","9.231","15.063","18.351","21.023"
"ZPOPMIN","69541.03","9.676","3.496","8.967","15.311","18.703","35.807"
"LPUSH (needed to benchmark LRANGE)","72780.20","9.262","3.832","9.127","12.207","12.903","16.255"
"LRANGE_100 (first 100 elements)","24600.25","20.037","2.720","18.447","43.775","52.319","60.799"
"LRANGE_300 (first 300 elements)","7789.38","40.913","3.328","41.375","72.895","82.495","110.783"
"LRANGE_500 (first 500 elements)","5626.20","46.379","2.224","50.207","74.047","83.583","154.239"
"LRANGE_600 (first 600 elements)","4229.40","64.713","3.624","67.903","118.975","181.503","209.535"
"MSET (10 keys)","59101.65","11.307","3.984","10.607","18.191","21.823","24.143"
"XADD","70871.72","9.528","3.288","9.423","12.495","13.263","13.823"
