"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","66006.60","10.222","4.296","9.231","16.559","20.639","33.375"
"PING_MBULK","79872.20","8.661","3.280","8.639","11.079","11.959","12.895"
"SET","76569.68","9.336","4.776","9.303","11.383","12.007","14.839"
"GET","76923.08","8.973","3.560","8.943","11.487","12.375","15.023"
"INCR","62266.50","10.949","3.272","9.679","17.919","35.455","76.031"
"LPUSH","71581.96","9.362","3.696","9.119","12.279","13.351","33.503"
"RPUSH","73855.24","9.114","3.160","8.983","12.063","12.743","13.895"
"LPOP","73099.41","9.223","3.600","9.095","12.207","12.983","17.183"
"RPOP","72306.58","9.257","3.736","9.063","12.191","13.519","28.191"
"SADD","76452.60","8.733","3.712","8.575","11.575","12.383","25.151"
"HSET","74571.22","9.266","2.552","9.119","11.767","14.055","34.079"
"SPOP","77519.38","9.229","2.504","9.103","11.135","11.855","32.735"
"ZADD","74460.16","9.203","2.840","9.103","11.863","12.847","27.439"
"ZPOPMIN","77881.62","9.121","2.536","9.071","11.095","11.695","24.815"
"LPUSH (needed to benchmark LRANGE)","67980.97","9.939","3.832","9.775","13.063","14.455","18.895"
"LRANGE_100 (first 100 elements)","27762.35","16.320","3.000","16.975","23.791","39.871","61.151"
"LRANGE_300 (first 300 elements)","13154.43","18.120","2.400","16.351","29.663","63.103","109.503"
"LRANGE_500 (first 500 elements)","5602.87","47.376","3.664","51.871","76.159","93.055","148.735"
"LRANGE_600 (first 600 elements)","4547.73","60.587","3.360","63.487","114.367","171.007","217.471"
"MSET (10 keys)","57570.52","11.794","5.832","11.071","18.575","22.239","30.895"
"XADD","64766.84","10.333","3.400","10.127","13.703","15.903","31.807"
