"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","65963.06","10.200","3.488","9.231","16.815","24.847","34.271"
"PING_MBULK","77579.52","9.212","3.000","9.055","11.151","11.799","33.535"
"SET","75357.95","9.082","3.600","8.991","11.743","12.623","22.239"
"GET","76569.68","8.855","4.024","8.743","11.655","12.335","18.431"
"INCR","72568.94","9.551","3.824","9.175","13.215","19.135","33.183"
"LPUSH","70521.86","9.562","4.240","9.423","12.583","13.535","16.639"
"RPUSH","53763.44","12.961","3.688","10.631","21.231","36.959","125.759"
"LPOP","71123.76","9.491","3.240","9.191","12.807","17.167","24.223"
"RPOP","74906.37","9.271","2.248","9.279","11.807","12.567","16.623"
"SADD","77639.75","9.212","3.688","9.183","11.255","11.791","14.191"
"HSET","75757.57","9.051","2.768","8.903","11.599","12.375","33.535"
"SPOP","79176.56","9.102","1.960","9.087","11.063","11.447","12.215"
"ZADD","73691.97","9.169","1.952","9.055","12.079","12.903","13.823"
"ZPOPMIN","78492.93","8.666","3.008","8.631","11.327","12.031","16.479"
"LPUSH (needed to benchmark LRANGE)","70721.36","9.547","3.880","9.399","12.559","13.863","18.687"
"LRANGE_100 (first 100 elements)","27114.97","16.413","3.624","16.399","28.207","47.551","72.639"
"LRANGE_300 (first 300 elements)","7912.64","43.085","2.320","44.607","76.415","86.335","112.255"
"LRANGE_500 (first 500 elements)","5498.13","49.551","3.168","53.407","75.967","92.415","168.319"
"LRANGE_600 (first 600 elements)","4264.94","72.976","3.096","70.783","128.575","178.047","493.055"
"MSET (10 keys)","55772.45","12.094","7.136","11.511","18.159","22.047","27.743"
"XADD","66401.06","10.176","3.296","9.871","13.647","18.639","26.063"
