"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","62421.97","10.819","5.224","10.087","16.863","19.807","30.287"
"PING_MBULK","78740.16","8.661","3.184","8.599","11.287","12.039","13.031"
"SET","71633.23","9.738","2.680","9.263","12.503","25.279","47.167"
"GET","76982.29","8.750","3.432","8.623","11.607","12.559","21.759"
"INCR","76923.08","9.236","2.304","9.167","11.231","11.791","26.575"
"LPUSH","71994.23","9.318","2.872","9.151","12.223","12.991","27.263"
"RPUSH","73583.52","9.144","3.600","9.015","12.103","12.775","15.647"
"LPOP","74239.05","9.090","3.760","8.967","12.023","12.687","15.887"
"RPOP","73746.31","9.148","3.592","8.927","11.991","12.703","30.767"
"SADD","77700.08","9.262","3.032","9.239","11.247","11.631","13.991"
"HSET","72046.11","9.409","4.768","9.239","12.439","14.391","21.903"
"SPOP","75471.70","8.840","3.384","8.711","11.903","13.215","16.991"
"ZADD","72358.90","9.248","3.496","9.039","12.287","15.319","28.735"
"ZPOPMIN","77881.62","8.759","2.992","8.703","11.391","12.103","13.143"
"LPUSH (needed to benchmark LRANGE)","72463.77","9.433","2.200","9.359","12.231","13.007","15.375"
"LRANGE_100 (first 100 elements)","25654.18","19.337","3.072","18.239","42.015","53.695","64.447"
"LRANGE_300 (first 300 elements)","13290.80","17.881","2.264","16.607","29.103","50.495","102.975"
"LRANGE_500 (first 500 elements)","5418.29","50.441","3.304","56.575","75.903","86.143","181.375"
"LRANGE_600 (first 600 elements)","4590.52","60.981","2.312","63.775","109.759","185.983","352.767"
"MSET (10 keys)","53763.44","12.591","4.312","12.087","18.447","22.271","33.055"
"XADD","67934.78","9.841","3.768","9.671","13.079","15.351","26.943"
