"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","64557.78","10.451","4.320","9.311","16.991","24.479","36.415"
"PING_MBULK","78431.38","8.938","3.600","8.823","11.063","11.911","33.439"
"SET","71530.76","9.858","3.280","9.223","11.727","15.327","94.143"
"GET","76569.68","9.351","2.632","9.175","11.255","11.839","37.919"
"INCR","77041.60","9.111","2.440","8.991","11.247","12.079","35.743"
"LPUSH","72046.11","9.375","2.576","9.151","12.159","12.935","36.831"
"RPUSH","64474.53","10.457","3.760","10.247","13.967","15.231","29.919"
"LPOP","72516.32","9.279","3.704","9.007","12.111","13.391","36.927"
"RPOP","74626.87","9.039","3.280","8.895","11.951","12.655","19.791"
"SADD","67704.80","10.176","2.832","9.623","14.543","25.807","36.671"
"HSET","71994.23","9.323","3.552","9.039","12.279","13.503","38.303"
"SPOP","63411.54","10.599","3.584","9.967","16.295","18.767","31.151"
"ZADD","74183.98","9.164","3.320","8.975","11.887","13.687","32.575"
"ZPOPMIN","75815.01","8.783","2.784","8.591","11.719","12.783","26.415"
"LPUSH (needed to benchmark LRANGE)","73099.41","9.204","3.752","9.031","12.191","12.951","23.039"
"LRANGE_100 (first 100 elements)","25201.61","19.967","3.224","18.639","43.551","51.711","70.463"
"LRANGE_300 (first 300 elements)","8094.54","39.306","2.424","43.103","67.263","77.567","86.207"
"LRANGE_500 (first 500 elements)","5383.87","50.115","1.840","55.967","74.047","91.647","241.407"
"LRANGE_600 (first 600 elements)","4560.38","63.134","2.504","66.431","105.599","181.503","332.799"
"MSET (10 keys)","54614.96","12.350","3.744","11.759","18.399","22.991","41.215"
"XADD","66711.14","10.109","3.840","9.959","13.383","15.303","19.775"
