"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","67024.13","10.025","4.864","9.023","16.295","19.503","38.527"
"PING_MBULK","77760.50","8.873","2.584","8.799","11.199","12.487","25.871"
"SET","76804.91","9.357","3.792","9.319","11.367","11.871","18.655"
"GET","74794.31","9.016","3.416","8.863","11.943","13.871","18.239"
"INCR","73152.89","9.299","3.544","9.167","12.087","13.767","24.687"
"LPUSH","69589.42","9.698","3.440","9.567","12.807","13.799","18.271"
"RPUSH","71479.62","9.590","2.864","9.423","12.223","13.543","35.839"
"LPOP","66225.16","10.247","3.872","9.687","15.735","20.463","31.055"
"RPOP","71073.21","9.414","3.648","9.215","12.479","13.735","27.359"
"SADD","73152.89","9.226","3.432","9.087","12.215","13.175","16.783"
"HSET","61804.70","10.987","4.240","10.383","16.511","18.655","20.095"
"SPOP","63051.70","10.742","3.616","10.095","16.071","25.039","39.583"
"ZADD","67567.57","10.005","3.640","9.839","13.295","14.559","21.055"
"ZPOPMIN","69881.20","9.634","3.576","9.375","12.639","14.375","37.087"
"LPUSH (needed to benchmark LRANGE)","66050.20","10.104","3.784","9.903","13.391","15.087","28.719"
"LRANGE_100 (first 100 elements)","26469.03","17.817","3.112","17.727","27.407","53.151","81.343"
"LRANGE_300 (first 300 elements)","8839.39","34.897","2.504","27.247","72.063","82.687","128.767"
"LRANGE_500 (first 500 elements)","4236.21","74.610","3.648","83.327","113.279","205.055","258.175"
"LRANGE_600 (first 600 elements)","4309.60","62.222","2.664","64.607","119.615","138.367","196.351"
"MSET (10 keys)","63211.12","10.621","3.080","10.455","13.911","14.927","27.727"
"XADD","70077.09","9.553","3.240","9.455","12.615","13.407","17.391"
