"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","68823.12","9.827","3.896","9.015","15.975","29.359","38.239"
"PING_MBULK","78308.54","8.711","3.600","8.703","11.295","12.007","13.223"
"SET","66225.16","10.477","2.424","9.431","18.143","27.951","82.367"
"GET","72254.34","9.292","3.136","8.815","13.559","18.991","30.543"
"INCR","71839.09","9.483","3.856","8.975","14.239","18.415","36.063"
"LPUSH","71787.51","9.490","4.024","9.367","12.319","13.543","22.927"
"RPUSH","69348.12","9.656","3.648","9.207","13.327","22.895","33.119"
"LPOP","74906.37","9.002","3.088","8.887","11.871","12.615","13.863"
"RPOP","74626.87","9.007","3.976","8.775","11.839","12.639","33.247"
"SADD","77639.75","9.215","2.480","9.087","11.127","11.655","32.687"
"HSET","74571.22","9.140","2.600","8.983","11.759","12.767","33.343"
"SPOP","76103.50","9.204","2.088","9.135","11.719","13.015","17.007"
"ZADD","74404.77","9.032","3.344","8.903","12.007","13.023","19.039"
"ZPOPMIN","76923.08","8.751","3.680","8.575","11.431","12.703","29.327"
"LPUSH (needed to benchmark LRANGE)","72202.16","9.485","2.608","9.455","12.215","13.087","15.767"
"LRANGE_100 (first 100 elements)","28546.96","15.920","3.160","16.719","22.703","37.951","44.991"
"LRANGE_300 (first 300 elements)","10973.33","24.927","2.136","18.943","54.591","63.775","114.815"
"LRANGE_500 (first 500 elements)","5438.63","48.611","2.544","53.279","76.159","87.487","175.231"
"LRANGE_600 (first 600 elements)","4456.92","60.702","3.264","64.991","93.439","174.975","332.543"
"MSET (10 keys)","60350.03","11.110","2.672","10.935","14.663","17.215","30.223"
"XADD","64102.57","10.500","3.896","10.271","13.847","15.823","31.951"
