"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","63411.54","10.642","3.464","9.735","16.959","22.015","30.223"
"PING_MBULK","74962.52","8.940","3.800","8.695","11.839","12.895","32.575"
"SET","74962.52","8.979","3.560","8.735","11.815","12.903","31.471"
"GET","77101.00","9.251","2.688","9.215","11.247","11.703","26.159"
"INCR","77942.32","9.095","2.384","9.111","11.215","11.727","13.431"
"LPUSH","71428.57","9.386","2.624","9.199","12.359","13.631","27.663"
"RPUSH","68306.01","9.901","3.688","9.687","13.167","14.815","23.359"
"LPOP","58173.36","11.910","4.240","10.431","19.359","26.079","36.127"
"RPOP","72780.20","9.170","3.776","9.007","12.167","12.919","22.383"
"SADD","77101.00","8.832","3.384","8.751","11.511","12.311","21.775"
"HSET","74460.16","9.113","2.368","9.007","11.767","12.775","28.431"
"SPOP","76982.29","9.205","2.616","9.183","11.287","12.951","24.591"
"ZADD","73475.39","9.132","2.560","8.959","12.023","12.799","27.151"
"ZPOPMIN","76103.50","8.833","2.488","8.703","11.607","12.471","24.447"
"LPUSH (needed to benchmark LRANGE)","70972.32","9.485","2.576","9.287","12.511","15.503","30.239"
"LRANGE_100 (first 100 elements)","28169.01","16.074","3.024","17.103","22.831","38.527","61.311"
"LRANGE_300 (first 300 elements)","10053.28","28.423","2.136","22.431","61.023","74.047","129.663"
"LRANGE_500 (first 500 elements)","4329.75","76.585","2.896","89.215","111.679","122.239","243.711"
"LRANGE_600 (first 600 elements)","4098.36","74.297","3.408","72.767","127.039","224.383","298.751"
"MSET (10 keys)","56338.03","11.951","4.144","11.279","18.383","22.511","34.783"
"XADD","69204.15","9.719","3.120","9.615","12.903","14.183","17.695"
