"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","65274.15","10.290","3.824","9.199","17.071","23.199","33.247"
"PING_MBULK","79936.05","8.768","3.584","8.775","10.967","11.511","12.287"
"SET","67476.38","10.422","2.336","9.255","18.191","26.495","102.335"
"GET","78616.35","9.118","2.520","9.079","11.119","11.671","18.207"
"INCR","78186.08","9.158","2.392","9.047","11.063","11.567","30.399"
"LPUSH","71994.23","9.405","3.640","9.303","12.319","13.503","15.127"
"RPUSH","72202.16","9.314","2.176","9.159","12.215","13.463","28.143"
"LPOP","71225.07","9.562","2.600","9.447","12.455","13.831","25.391"
"RPOP","67980.97","9.995","2.568","9.439","14.791","25.103","34.975"
"SADD","70274.07","9.567","3.440","9.007","14.671","22.927","34.207"
"HSET","70422.54","9.563","3.648","9.095","14.247","19.823","32.639"
"SPOP","74571.22","8.983","3.400","8.855","12.063","13.207","19.423"
"ZADD","70422.54","9.605","3.200","9.095","14.383","18.783","31.055"
"ZPOPMIN","77101.00","9.125","3.504","8.999","11.223","12.111","34.719"
"LPUSH (needed to benchmark LRANGE)","72727.27","9.271","3.832","9.119","12.239","12.951","19.455"
"LRANGE_100 (first 100 elements)","28384.90","17.229","3.632","16.815","23.759","45.183","68.863"
"LRANGE_300 (first 300 elements)","10809.64","25.383","2.136","20.607","51.007","62.527","117.119"
"LRANGE_500 (first 500 elements)","5563.28","46.356","2.472","50.623","75.199","85.375","181.119"
"LRANGE_600 (first 600 elements)","4388.66","66.210","2.696","65.791","121.727","185.983","332.543"
"MSET (10 keys)","56369.79","11.944","3.744","11.319","18.127","22.863","40.735"
"XADD","60642.81","11.125","3.568","10.431","17.007","26.495","36.447"
