"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","63291.14","10.652","3.680","9.639","17.167","24.575","37.503"
"PING_MBULK","72886.30","9.170","3.096","8.895","12.175","14.111","32.111"
"SET","57836.90","12.210","2.872","9.959","21.727","32.175","135.551"
"GET","77101.00","8.787","3.512","8.663","11.351","12.199","29.471"
"INCR","77041.60","9.240","2.472","9.135","11.215","11.991","31.647"
"LPUSH","73046.02","9.282","3.832","9.175","12.151","12.823","15.591"
"RPUSH","72306.58","9.239","3.656","9.039","12.207","13.383","28.063"
"LPOP","74515.65","9.055","3.408","8.903","12.015","12.767","20.655"
"RPOP","72833.21","9.249","3.520","8.943","12.519","18.079","23.759"
"SADD","72727.27","9.542","2.200","9.223","13.199","18.927","26.255"
"HSET","75018.76","9.213","3.192","9.167","11.831","12.855","14.679"
"SPOP","76863.95","8.745","4.056","8.607","11.615","12.503","15.983"
"ZADD","75757.57","8.890","3.488","8.775","11.791","12.431","15.631"
"ZPOPMIN","69979.01","9.604","3.776","9.447","12.887","14.031","17.455"
"LPUSH (needed to benchmark LRANGE)","72098.05","9.254","3.712","9.079","12.239","13.151","27.279"
"LRANGE_100 (first 100 elements)","28011.21","16.107","3.168","16.447","22.799","40.223","64.927"
"LRANGE_300 (first 300 elements)","9465.22","29.702","2.040","23.407","61.887","76.351","103.295"
"LRANGE_500 (first 500 elements)","4667.01","69.073","3.368","85.503","111.615","135.039","253.055"
"LRANGE_600 (first 600 elements)","4508.77","60.878","2.872","64.959","98.047","178.303","246.911"
"MSET (10 keys)","57971.02","11.562","4.376","10.855","18.335","22.207","31.919"
"XADD","68634.18","9.832","3.280","9.695","12.887","13.903","15.991"
