"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","53022.27","12.820","4.048","12.127","19.855","26.543","38.815"
"PING_MBULK","63897.76","10.673","3.832","10.463","14.303","15.815","24.655"
"SET","56085.25","12.190","4.056","11.255","19.039","31.983","40.415"
"GET","66934.41","10.147","3.808","9.919","13.407","15.823","28.431"
"INCR","59241.71","11.638","3.664","10.063","13.703","27.551","182.143"
"LPUSH","58411.21","12.166","3.960","11.615","20.479","27.711","36.159"
"RPUSH","66006.60","10.266","3.336","10.111","13.599","14.239","21.967"
"LPOP","65703.02","10.301","3.736","10.159","13.607","14.487","21.791"
"RPOP","61881.19","10.967","3.616","10.391","16.063","23.535","34.687"
"SADD","63492.06","10.698","4.136","10.543","14.199","14.775","18.175"
"HSET","61881.19","10.986","4.152","10.823","14.591","15.167","19.599"
"SPOP","63775.51","10.610","4.032","10.311","14.039","14.887","35.839"
"ZADD","61162.08","11.181","3.960","10.975","14.783","15.495","24.399"
"ZPOPMIN","64516.13","10.516","3.776","10.311","13.959","14.647","26.703"
"LPUSH (needed to benchmark LRANGE)","58513.75","11.708","3.624","11.535","15.343","16.431","17.231"
"LRANGE_100 (first 100 elements)","25214.32","18.505","3.672","19.775","27.183","36.927","65.599"
"LRANGE_300 (first 300 elements)","12843.57","17.816","2.448","17.039","27.983","66.047","83.135"
"LRANGE_500 (first 500 elements)","5736.25","40.929","3.720","41.919","72.127","90.367","156.671"
"LRANGE_600 (first 600 elements)","4609.57","55.656","3.936","54.335","116.415","150.527","369.663"
"MSET (10 keys)","52493.44","13.001","2.512","12.183","21.055","27.615","42.527"
"XADD","64766.84","10.432","4.016","10.207","13.719","15.055","28.063"
