"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","63653.72","10.696","3.864","10.351","14.423","20.719","32.511"
"PING_MBULK","65189.05","10.459","4.104","10.151","13.871","15.839","35.807"
"SET","50327.12","14.409","3.600","11.063","23.183","43.743","197.887"
"GET","69735.01","9.724","3.792","9.575","12.871","13.471","18.271"
"INCR","68775.79","9.869","3.752","9.615","12.951","13.879","34.783"
"LPUSH","67796.61","10.017","4.568","9.871","13.199","14.063","19.279"
"RPUSH","68728.52","9.834","3.600","9.663","13.023","13.783","20.463"
"LPOP","68870.52","9.865","3.664","9.695","13.031","13.871","21.407"
"RPOP","69348.12","9.791","3.800","9.567","12.863","13.791","29.903"
"SADD","71890.73","9.524","3.448","9.415","12.463","13.255","20.799"
"HSET","69979.01","9.802","2.776","9.727","12.783","13.447","13.959"
"SPOP","73046.02","9.469","6.048","9.423","12.135","12.903","14.031"
"ZADD","69783.67","9.912","3.192","9.767","12.663","13.607","30.927"
"ZPOPMIN","71942.45","9.452","3.768","9.327","12.471","13.095","13.863"
"LPUSH (needed to benchmark LRANGE)","63211.12","10.824","4.592","10.655","14.151","15.415","22.463"
"LRANGE_100 (first 100 elements)","26581.61","17.675","3.944","18.399","24.447","38.239","57.471"
"LRANGE_300 (first 300 elements)","13185.65","18.680","2.136","17.103","30.063","59.711","113.535"
"LRANGE_500 (first 500 elements)","6758.13","22.484","2.392","12.551","68.223","85.439","137.855"
"LRANGE_600 (first 600 elements)","4639.73","55.259","2.568","51.967","102.591","162.431","391.167"
"MSET (10 keys)","59772.86","11.254","4.808","11.103","14.847","15.775","19.087"
"XADD","63171.20","10.688","3.704","10.527","14.183","16.191","18.287"
