"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","56721.50","11.990","5.736","11.351","17.983","21.055","36.383"
"PING_MBULK","69013.11","9.820","3.800","9.623","12.943","14.719","23.263"
"SET","56433.41","12.702","3.520","10.919","14.903","33.471","219.135"
"GET","70771.41","9.569","2.512","9.479","12.535","13.119","15.031"
"INCR","70521.86","9.634","6.904","9.503","12.615","13.143","16.847"
"LPUSH","65789.48","10.274","3.712","9.999","13.631","18.287","23.679"
"RPUSH","55524.71","12.220","3.784","11.111","19.151","21.839","39.551"
"LPOP","67340.07","9.993","3.816","9.767","13.167","14.167","31.535"
"RPOP","68306.01","9.892","4.992","9.743","13.015","13.591","18.783"
"SADD","69832.40","9.667","3.928","9.439","12.703","13.359","31.551"
"HSET","58105.75","11.653","3.824","10.631","18.703","21.439","33.311"
"SPOP","63091.48","10.750","3.344","9.999","17.071","23.231","36.255"
"ZADD","67385.45","10.052","3.592","9.879","13.231","14.239","23.039"
"ZPOPMIN","67888.66","9.993","5.136","9.839","13.135","14.119","15.447"
"LPUSH (needed to benchmark LRANGE)","63694.27","10.606","4.184","10.111","15.055","21.631","36.095"
"LRANGE_100 (first 100 elements)","28490.03","18.097","3.648","18.287","31.311","36.351","50.559"
"LRANGE_300 (first 300 elements)","12283.50","12.274","2.528","7.719","50.463","69.375","86.719"
"LRANGE_500 (first 500 elements)","4894.76","60.008","3.856","69.503","91.647","100.479","224.255"
"LRANGE_600 (first 600 elements)","4232.80","65.366","3.864","68.159","107.263","227.071","264.191"
"MSET (10 keys)","55928.41","12.139","4.392","11.407","19.551","23.503","26.111"
"XADD","67385.45","10.021","5.464","9.855","13.199","14.007","21.327"
