"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","56980.06","11.866","4.152","11.151","18.607","21.999","32.207"
"PING_MBULK","66357.00","10.151","4.104","9.967","13.487","15.095","24.047"
"SET","59488.40","11.379","3.856","10.895","16.055","24.783","32.399"
"GET","68917.99","9.824","3.648","9.695","12.919","13.967","18.687"
"INCR","50556.12","14.327","3.376","11.239","19.935","40.191","242.047"
"LPUSH","64808.82","10.471","2.992","10.263","13.687","15.135","32.111"
"RPUSH","66934.41","10.111","3.296","9.951","13.295","14.095","23.583"
"LPOP","67567.57","9.964","3.608","9.831","13.199","13.903","14.967"
"RPOP","67204.30","10.061","4.000","9.855","13.199","14.007","29.727"
"SADD","70028.02","9.672","3.752","9.543","12.751","13.359","17.119"
"HSET","68634.18","9.900","3.888","9.735","12.999","13.783","23.791"
"SPOP","69204.15","9.794","3.792","9.639","12.927","13.887","22.655"
"ZADD","65530.80","10.268","3.712","10.151","13.599","14.359","17.807"
"ZPOPMIN","67385.45","10.064","3.792","9.887","13.263","14.079","24.975"
"LPUSH (needed to benchmark LRANGE)","63897.76","10.618","3.152","10.463","13.927","14.655","19.823"
"LRANGE_100 (first 100 elements)","28490.03","16.012","3.128","17.471","21.535","33.151","49.183"
"LRANGE_300 (first 300 elements)","11058.28","13.204","2.664","8.519","53.695","71.679","88.703"
"LRANGE_500 (first 500 elements)","6292.47","22.951","2.432","13.775","62.943","77.439","158.335"
"LRANGE_600 (first 600 elements)","4440.10","52.759","2.808","49.887","93.183","151.935","598.527"
"MSET (10 keys)","54884.74","12.370","3.496","11.871","16.959","25.775","38.879"
"XADD","53304.90","12.771","3.056","11.775","19.887","22.399","23.759"
