"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","60496.07","11.191","4.152","10.159","17.935","21.055","36.767"
"PING_MBULK","68119.89","9.946","3.440","9.767","13.175","14.775","17.167"
"SET","68446.27","9.883","3.600","9.647","13.183","15.855","27.951"
"GET","71022.73","9.547","3.560","9.375","12.591","13.935","22.479"
"INCR","71225.07","9.495","3.648","9.335","12.543","13.911","15.863"
"LPUSH","50479.56","14.423","2.344","10.951","22.911","38.591","228.863"
"RPUSH","68823.12","9.813","2.648","9.575","12.815","13.607","35.295"
"LPOP","68917.99","9.833","3.392","9.671","12.991","14.471","16.735"
"RPOP","70472.16","9.603","3.656","9.367","12.487","13.711","34.367"
"SADD","74404.77","9.131","3.112","9.023","11.951","12.599","15.127"
"HSET","73152.89","9.479","2.376","9.399","12.055","12.999","29.727"
"SPOP","75930.14","9.351","3.840","9.391","11.567","12.295","17.951"
"ZADD","71275.84","9.499","3.920","9.383","12.535","13.135","18.639"
"ZPOPMIN","73637.70","9.237","3.352","9.127","12.095","12.679","13.263"
"LPUSH (needed to benchmark LRANGE)","68728.52","9.764","2.472","9.551","12.799","13.887","33.343"
"LRANGE_100 (first 100 elements)","32883.92","13.932","2.456","14.751","18.463","37.183","50.079"
"LRANGE_300 (first 300 elements)","7542.05","41.623","1.952","46.975","68.863","75.647","87.423"
"LRANGE_500 (first 500 elements)","4699.25","75.258","3.048","88.703","112.319","130.239","180.095"
"LRANGE_600 (first 600 elements)","4874.72","46.838","2.400","42.015","98.751","206.719","233.983"
"MSET (10 keys)","59066.75","11.425","3.416","11.223","14.927","16.127","34.143"
"XADD","65019.51","10.326","3.648","10.207","13.623","14.591","19.919"
