"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","58962.27","11.505","3.640","10.559","18.655","24.799","35.519"
"PING_MBULK","67567.57","10.022","3.312","9.879","13.287","14.647","17.119"
"SET","60277.27","11.274","4.728","10.687","16.639","24.111","33.951"
"GET","68540.09","9.905","2.688","9.703","13.039","15.623","28.767"
"INCR","69930.07","9.754","2.160","9.655","12.759","13.815","15.727"
"LPUSH","57405.28","12.096","5.552","10.119","13.487","15.679","251.135"
"RPUSH","54614.96","13.234","2.448","11.471","23.167","29.391","38.047"
"LPOP","66800.27","10.100","4.520","9.951","13.351","14.047","17.967"
"RPOP","66577.90","10.150","4.032","9.903","13.271","14.439","35.231"
"SADD","69541.03","9.695","3.656","9.487","12.751","13.735","30.863"
"HSET","68634.18","9.836","3.720","9.655","12.935","13.687","26.655"
"SPOP","70126.23","9.584","3.456","9.399","12.687","14.367","29.599"
"ZADD","69013.11","9.798","4.736","9.663","12.935","13.519","17.631"
"ZPOPMIN","70422.54","9.547","3.544","9.343","12.623","14.455","29.215"
"LPUSH (needed to benchmark LRANGE)","66934.41","10.091","3.760","9.935","13.303","14.079","23.887"
"LRANGE_100 (first 100 elements)","27770.06","19.066","3.216","17.919","33.439","43.007","59.231"
"LRANGE_300 (first 300 elements)","11631.96","12.715","2.432","8.207","44.607","64.415","95.295"
"LRANGE_500 (first 500 elements)","6119.58","26.274","2.744","15.567","71.487","85.631","124.927"
"LRANGE_600 (first 600 elements)","4322.83","61.856","2.784","61.695","115.391","134.143","399.615"
"MSET (10 keys)","57870.37","11.679","2.744","11.103","17.455","27.695","37.055"
"XADD","67204.30","10.046","3.648","9.887","13.263","14.079","22.847"
