"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","59031.88","11.521","4.136","10.727","17.903","20.975","29.727"
"PING_MBULK","64020.48","10.668","5.280","10.471","14.279","15.695","21.839"
"SET","49627.79","14.323","4.600","11.799","21.359","37.887","131.455"
"GET","66622.25","10.143","4.000","9.887","13.351","14.383","35.071"
"INCR","68166.33","9.948","3.816","9.807","13.167","13.807","14.807"
"LPUSH","64184.86","10.586","3.616","10.343","13.927","17.871","28.815"
"RPUSH","65445.03","10.368","4.064","10.231","13.695","14.447","19.247"
"LPOP","65316.79","10.309","3.864","10.111","13.631","14.407","28.927"
"RPOP","66755.67","10.168","3.656","10.023","13.439","13.991","14.839"
"SADD","68870.52","9.885","3.424","9.759","13.023","13.663","14.967"
"HSET","62814.07","10.876","4.408","10.279","16.319","21.343","37.151"
"SPOP","69348.12","9.763","3.224","9.631","12.991","13.639","17.807"
"ZADD","67114.09","10.110","3.664","9.983","13.367","13.951","16.927"
"ZPOPMIN","68073.52","9.904","3.984","9.647","13.031","13.711","35.647"
"LPUSH (needed to benchmark LRANGE)","65316.79","10.374","3.824","10.207","13.727","14.535","24.015"
"LRANGE_100 (first 100 elements)","27785.50","15.838","3.240","16.359","22.143","37.535","57.887"
"LRANGE_300 (first 300 elements)","12450.20","8.997","2.480","7.927","17.151","50.879","76.671"
"LRANGE_500 (first 500 elements)","6951.20","17.476","2.712","8.391","60.895","81.855","141.311"
"LRANGE_600 (first 600 elements)","4818.81","47.857","4.272","48.095","86.527","142.463","224.639"
"MSET (10 keys)","56053.81","12.127","3.856","11.943","15.791","17.071","34.911"
"XADD","61538.46","11.021","3.344","10.911","14.535","16.111","19.423"
