"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","60753.34","11.204","2.896","10.711","16.183","25.695","35.327"
"PING_MBULK","64935.07","10.439","6.072","10.295","13.727","14.703","16.015"
"SET","62305.30","10.896","3.928","10.623","14.415","15.951","34.367"
"GET","67613.25","10.053","6.664","9.871","13.191","15.159","18.783"
"INCR","69156.30","9.846","5.560","9.703","12.871","14.559","16.071"
"LPUSH","67980.97","10.012","2.664","9.927","13.087","13.647","14.335"
"RPUSH","67340.07","10.032","4.016","9.791","13.151","13.935","34.303"
"LPOP","67750.68","9.989","3.608","9.831","13.143","13.815","23.743"
"RPOP","67385.45","10.023","3.936","9.855","13.239","14.855","21.311"
"SADD","70126.23","9.591","3.512","9.471","12.695","13.255","16.311"
"HSET","49455.98","14.667","3.872","11.647","23.007","30.687","182.271"
"SPOP","65061.81","10.458","4.720","10.287","13.807","15.191","18.783"
"ZADD","63131.31","10.779","3.960","10.655","14.223","14.847","17.727"
"ZPOPMIN","67114.09","10.116","3.424","9.975","13.407","13.991","14.687"
"LPUSH (needed to benchmark LRANGE)","61804.70","11.019","5.320","10.871","14.495","15.111","15.943"
"LRANGE_100 (first 100 elements)","28153.15","16.277","3.656","16.879","22.383","33.727","67.519"
"LRANGE_300 (first 300 elements)","13126.80","9.831","2.416","7.519","22.447","76.031","121.663"
"LRANGE_500 (first 500 elements)","6422.61","28.648","3.592","20.863","68.031","77.311","140.287"
"LRANGE_600 (first 600 elements)","4728.36","49.867","2.528","48.863","96.959","109.823","183.039"
"MSET (10 keys)","52798.31","12.918","6.144","11.951","20.911","24.815","36.447"
"XADD","64977.26","10.374","3.192","10.207","13.703","14.471","22.319"
