"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","57372.34","11.826","5.416","10.847","18.815","25.631","37.343"
"PING_MBULK","59594.76","11.437","3.752","10.535","18.527","25.503","38.399"
"SET","63291.14","10.679","3.984","10.471","14.215","16.047","28.319"
"GET","56369.79","12.360","3.544","10.799","20.559","29.599","161.919"
"INCR","62421.97","10.954","4.736","10.495","15.175","22.351","37.791"
"LPUSH","61996.28","10.909","3.632","10.527","14.807","21.487","31.919"
"RPUSH","64143.68","10.564","3.968","10.399","13.911","14.863","23.263"
"LPOP","63532.40","10.583","3.840","10.375","13.959","14.927","29.071"
"RPOP","65573.77","10.366","3.288","10.247","13.583","14.455","16.239"
"SADD","67204.30","10.065","3.752","9.919","13.271","14.167","19.583"
"HSET","63856.96","10.645","3.232","10.159","15.703","20.767","34.303"
"SPOP","69686.41","9.724","3.840","9.599","12.831","13.647","17.999"
"ZADD","67842.61","9.935","3.832","9.687","13.039","13.959","35.263"
"ZPOPMIN","70871.72","9.567","4.136","9.423","12.615","13.255","18.799"
"LPUSH (needed to benchmark LRANGE)","66050.20","10.246","3.360","10.063","13.479","14.455","25.711"
"LRANGE_100 (first 100 elements)","27917.37","15.833","3.040","16.015","21.903","35.935","53.855"
"LRANGE_300 (first 300 elements)","9182.74","27.960","2.576","17.327","66.943","77.247","143.743"
"LRANGE_500 (first 500 elements)","5810.24","37.375","3.272","36.543","68.415","79.487","157.183"
"LRANGE_600 (first 600 elements)","5078.20","30.145","2.656","16.231","71.295","167.167","355.839"
"MSET (10 keys)","58927.52","11.449","3.464","11.271","15.135","17.167","19.583"
"XADD","60901.34","11.147","3.768","10.887","14.943","17.391","33.567"
