"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","64350.06","10.404","3.632","9.311","17.151","21.071","39.551"
"PING_MBULK","69060.77","9.707","4.208","9.327","13.719","18.607","31.455"
"SET","59101.65","12.089","2.376","9.783","19.663","38.367","128.383"
"GET","75642.96","9.348","2.376","9.303","11.615","12.583","13.415"
"INCR","60422.96","11.127","3.640","10.479","17.759","23.007","33.343"
"LPUSH","74515.65","9.087","3.112","8.967","11.919","12.591","13.207"
"RPUSH","73746.31","9.289","2.024","9.063","12.319","17.455","25.135"
"LPOP","76452.60","9.027","3.808","9.015","11.551","12.239","14.847"
"RPOP","76161.46","9.142","2.720","9.103","11.495","12.359","26.735"
"SADD","74571.22","9.264","3.136","9.079","11.831","13.583","32.767"
"HSET","73800.73","9.244","3.608","9.119","12.143","13.431","14.775"
"SPOP","78554.59","8.748","3.384","8.751","11.207","12.007","17.743"
"ZADD","74239.05","9.156","2.712","8.999","11.935","14.159","26.719"
"ZPOPMIN","76628.36","8.755","4.056","8.607","11.671","12.615","17.631"
"LPUSH (needed to benchmark LRANGE)","74682.60","9.063","4.952","8.943","11.887","12.551","13.703"
"LRANGE_100 (first 100 elements)","27739.25","17.102","3.448","16.415","31.103","45.727","56.063"
"LRANGE_300 (first 300 elements)","14836.80","8.319","2.112","6.847","17.775","46.463","101.631"
"LRANGE_500 (first 500 elements)","6507.87","36.777","3.224","37.375","62.079","74.175","160.383"
"LRANGE_600 (first 600 elements)","4671.81","61.624","2.600","58.751","105.727","191.487","422.911"
"MSET (10 keys)","58275.06","11.500","3.592","10.655","18.623","22.863","34.079"
"XADD","65703.02","10.219","3.584","9.679","15.711","20.367","34.271"
