"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","64557.78","10.444","4.336","9.783","16.167","19.167","27.439"
"PING_MBULK","76277.65","8.717","3.744","8.535","11.623","12.487","25.615"
"SET","73637.70","9.163","3.760","8.935","12.023","12.855","31.919"
"GET","73909.83","9.208","3.216","9.127","12.063","12.887","14.479"
"INCR","75930.14","8.850","3.392","8.687","11.775","13.127","20.127"
"LPUSH","72411.30","9.306","3.760","9.135","12.303","13.111","22.463"
"RPUSH","72780.20","9.278","3.608","9.135","12.239","13.071","20.351"
"LPOP","61462.82","11.022","3.584","10.151","17.183","19.903","33.279"
"RPOP","73583.52","9.170","3.808","9.031","12.119","13.103","19.231"
"SADD","63938.62","10.685","2.760","9.903","16.879","25.983","36.447"
"HSET","67204.30","10.348","4.040","9.727","15.143","29.871","36.447"
"SPOP","73046.02","9.413","2.424","9.383","12.247","13.255","16.639"
"ZADD","71275.84","9.486","3.672","9.319","12.591","14.183","20.511"
"ZPOPMIN","74626.87","8.993","3.704","8.711","11.895","13.535","35.583"
"LPUSH (needed to benchmark LRANGE)","70422.54","9.546","3.912","9.295","12.527","14.279","35.103"
"LRANGE_100 (first 100 elements)","30093.29","14.664","2.968","14.559","21.711","36.607","54.687"
"LRANGE_300 (first 300 elements)","13446.28","8.793","2.360","7.455","18.463","46.751","104.639"
"LRANGE_500 (first 500 elements)","6080.88","40.927","3.144","43.519","65.087","75.903","183.551"
"LRANGE_600 (first 600 elements)","4369.67","59.271","3.840","56.799","111.743","156.031","264.703"
"MSET (10 keys)","61462.82","10.857","2.688","10.599","14.255","16.087","35.967"
"XADD","67069.08","10.000","3.336","9.871","13.319","15.399","21.439"
