"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","64892.93","10.373","3.976","9.439","16.655","20.351","33.599"
"PING_MBULK","78308.54","8.572","3.760","8.423","11.335","12.423","25.455"
"SET","68399.45","10.405","2.248","9.399","18.079","26.351","90.879"
"GET","77339.52","9.273","2.832","9.207","11.239","11.703","25.487"
"INCR","77639.75","9.274","3.240","9.263","11.223","11.607","13.399"
"LPUSH","72674.41","9.356","2.904","9.279","12.263","12.951","15.575"
"RPUSH","69832.40","9.636","3.272","9.487","12.767","13.903","15.351"
"LPOP","73529.41","9.199","3.480","8.871","12.503","18.383","23.871"
"RPOP","76569.68","9.351","3.776","9.335","11.415","11.943","17.823"
"SADD","75471.70","9.300","4.144","9.231","11.679","13.175","14.607"
"HSET","74349.44","8.952","3.504","8.751","11.935","13.047","27.839"
"SPOP","76394.20","8.882","3.072","8.775","11.663","13.495","19.887"
"ZADD","77339.52","9.327","3.760","9.319","11.303","11.743","14.447"
"ZPOPMIN","72833.21","9.499","2.800","9.087","13.303","21.007","30.655"
"LPUSH (needed to benchmark LRANGE)","70721.36","9.549","3.304","9.167","12.767","20.127","32.143"
"LRANGE_100 (first 100 elements)","31210.99","15.360","2.568","14.983","25.375","43.679","70.719"
"LRANGE_300 (first 300 elements)","14903.13","7.657","1.984","6.767","13.631","31.695","103.935"
"LRANGE_500 (first 500 elements)","5029.93","55.840","3.256","62.271","88.383","97.919","152.191"
"LRANGE_600 (first 600 elements)","4752.85","58.968","2.968","57.439","104.767","159.103","268.287"
"MSET (10 keys)","53705.69","12.596","4.328","11.879","19.055","23.343","38.015"
"XADD","64102.57","10.504","4.032","10.367","13.815","15.295","16.511"
