"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","66979.23","10.102","5.976","9.063","16.447","26.575","39.647"
"PING_MBULK","80000.00","8.970","3.560","8.951","10.919","11.319","13.551"
"SET","66313.00","10.715","2.440","9.367","18.463","25.951","104.959"
"GET","78431.38","9.182","3.824","9.159","11.143","11.551","16.991"
"INCR","75700.23","9.424","2.528","9.199","11.815","18.623","25.567"
"LPUSH","67796.61","9.907","2.592","9.407","14.919","21.407","32.655"
"RPUSH","70721.36","9.456","3.680","9.063","12.711","20.015","30.879"
"LPOP","73909.83","9.093","3.416","8.951","12.063","13.447","19.007"
"RPOP","73855.24","9.202","5.856","8.935","11.999","14.079","33.663"
"SADD","75585.79","9.400","2.496","9.263","11.471","13.743","30.735"
"HSET","74571.22","9.067","2.000","8.967","11.951","12.863","18.303"
"SPOP","76628.36","9.043","3.568","8.919","11.511","15.135","28.143"
"ZADD","71942.45","9.360","3.544","9.207","12.423","13.583","21.471"
"ZPOPMIN","78247.26","8.586","3.136","8.455","11.423","12.039","13.879"
"LPUSH (needed to benchmark LRANGE)","72886.30","9.251","2.328","9.151","12.183","12.903","18.543"
"LRANGE_100 (first 100 elements)","31826.86","13.438","2.656","13.455","18.415","36.127","58.879"
"LRANGE_300 (first 300 elements)","15051.17","7.358","2.104","6.791","10.015","29.791","113.919"
"LRANGE_500 (first 500 elements)","5074.08","55.109","3.184","61.663","85.439","95.423","150.527"
"LRANGE_600 (first 600 elements)","4663.53","59.711","2.648","57.951","102.143","258.687","357.119"
"MSET (10 keys)","61500.61","10.933","3.456","10.703","14.383","16.863","37.439"
"XADD","64061.50","10.479","4.032","10.303","14.031","15.623","22.175"
