"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","63613.23","10.587","3.856","9.543","17.103","24.111","38.047"
"PING_MBULK","79113.92","8.745","3.680","8.719","11.183","11.903","15.695"
"SET","74019.25","9.632","2.584","9.335","11.519","14.519","49.663"
"GET","77220.08","9.198","2.688","9.143","11.207","11.703","24.831"
"INCR","76863.95","8.769","3.032","8.551","11.519","12.239","32.799"
"LPUSH","72411.30","9.321","2.360","9.119","12.247","13.079","30.431"
"RPUSH","73206.44","9.233","3.632","9.015","12.111","12.871","30.527"
"LPOP","74128.98","9.223","3.880","9.127","12.007","12.775","20.511"
"RPOP","75585.79","9.030","2.352","8.959","11.783","12.439","14.263"
"SADD","76628.36","9.348","2.496","9.239","11.279","11.807","31.375"
"HSET","75244.55","9.408","2.008","9.359","11.647","13.103","14.967"
"SPOP","76745.97","9.034","3.760","8.967","11.527","13.119","16.799"
"ZADD","74460.16","9.200","2.616","9.039","11.735","12.527","36.575"
"ZPOPMIN","78308.54","9.134","2.224","9.111","11.127","11.607","17.647"
"LPUSH (needed to benchmark LRANGE)","72516.32","9.388","3.904","9.279","12.263","13.255","19.119"
"LRANGE_100 (first 100 elements)","30769.23","13.923","2.728","13.967","19.967","42.303","58.239"
"LRANGE_300 (first 300 elements)","7898.27","42.492","2.232","49.087","64.671","73.215","126.399"
"LRANGE_500 (first 500 elements)","5661.55","48.150","3.304","47.935","94.335","110.847","219.903"
"LRANGE_600 (first 600 elements)","4931.70","52.880","2.280","52.319","113.215","163.327","183.039"
"MSET (10 keys)","60938.45","11.009","3.320","10.799","14.615","17.727","32.719"
"XADD","66489.37","10.097","4.008","9.831","13.319","15.775","32.991"
