"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","65963.06","10.270","5.984","9.511","15.911","27.903","37.599"
"PING_MBULK","77821.02","8.602","3.696","8.439","11.455","12.671","17.887"
"SET","70521.86","9.869","3.296","8.999","12.887","24.351","80.831"
"GET","77160.49","9.065","2.424","8.951","11.175","12.943","33.247"
"INCR","76804.91","9.132","3.920","9.087","11.423","12.423","17.279"
"LPUSH","72254.34","9.358","3.944","9.223","12.287","13.023","18.095"
"RPUSH","74962.52","9.027","3.360","8.959","11.895","12.623","16.399"
"LPOP","74571.22","8.989","2.560","8.863","11.855","12.631","22.943"
"RPOP","75131.48","9.079","3.064","8.903","11.639","12.471","35.647"
"SADD","78492.93","8.532","3.784","8.367","11.383","12.207","21.087"
"HSET","73691.97","9.365","2.496","9.159","13.607","18.127","21.359"
"SPOP","76219.51","9.353","2.784","9.087","12.479","17.599","23.919"
"ZADD","75585.79","9.040","2.408","8.967","11.535","12.423","26.639"
"ZPOPMIN","79365.08","9.042","2.784","8.999","11.023","11.695","19.759"
"LPUSH (needed to benchmark LRANGE)","73964.50","9.219","3.848","9.103","12.031","12.855","21.647"
"LRANGE_100 (first 100 elements)","34106.41","14.676","2.776","14.695","19.487","30.239","67.007"
"LRANGE_300 (first 300 elements)","11445.58","17.661","2.032","6.975","54.431","66.623","102.847"
"LRANGE_500 (first 500 elements)","6090.13","41.074","3.112","44.383","63.391","72.063","132.223"
"LRANGE_600 (first 600 elements)","4442.67","64.189","3.696","62.783","107.199","173.183","491.263"
"MSET (10 keys)","56306.30","11.958","7.192","11.151","18.783","23.247","36.095"
"XADD","62383.03","10.769","3.600","10.183","16.687","19.711","22.047"
