"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","62578.22","10.789","5.760","10.023","16.495","22.431","40.863"
"PING_MBULK","76452.60","8.780","3.664","8.375","12.055","19.599","32.223"
"SET","77160.49","9.299","3.080","9.175","11.191","11.863","32.687"
"GET","78369.91","9.125","2.704","8.975","10.999","11.503","34.367"
"INCR","78125.00","9.151","2.296","8.999","11.007","11.519","36.735"
"LPUSH","73637.70","9.254","2.520","9.087","11.855","13.823","38.463"
"RPUSH","71377.59","9.550","2.504","9.375","12.391","14.791","27.935"
"LPOP","66050.20","10.339","3.696","9.175","19.055","26.751","70.271"
"RPOP","74019.25","9.112","3.272","8.991","12.023","12.767","13.775"
"SADD","77160.49","8.828","3.648","8.655","11.367","12.295","36.063"
"HSET","76335.88","9.084","2.632","9.039","11.383","12.335","26.031"
"SPOP","78988.94","9.028","2.304","8.943","11.007","13.655","28.655"
"ZADD","77519.38","9.322","2.024","9.311","11.263","11.655","12.511"
"ZPOPMIN","79428.12","9.036","2.928","8.999","11.015","11.647","19.423"
"LPUSH (needed to benchmark LRANGE)","73746.31","9.346","2.632","9.279","11.815","12.727","27.103"
"LRANGE_100 (first 100 elements)","33670.04","15.633","2.744","15.327","19.823","44.063","59.967"
"LRANGE_300 (first 300 elements)","12626.26","12.857","2.216","7.071","41.695","51.135","113.343"
"LRANGE_500 (first 500 elements)","6634.38","34.608","2.208","34.655","63.583","74.559","143.231"
"LRANGE_600 (first 600 elements)","5004.00","52.782","3.528","54.431","104.063","117.055","161.663"
"MSET (10 keys)","58309.04","11.490","5.160","10.799","18.111","22.479","35.007"
"XADD","64350.06","10.500","3.680","10.071","15.119","20.287","32.991"
