"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","59737.16","11.280","3.432","10.727","17.663","23.295","32.831"
"PING_MBULK","79617.83","8.700","3.296","8.711","11.103","11.767","13.143"
"SET","69783.67","10.105","3.752","9.287","15.495","25.119","69.183"
"GET","78247.26","9.159","3.856","9.095","11.159","11.775","20.959"
"INCR","74571.22","9.110","2.040","8.959","12.079","13.519","14.567"
"LPUSH","72780.20","9.254","3.600","9.039","12.167","12.959","30.031"
"RPUSH","74183.98","9.081","3.696","8.839","11.895","12.655","33.439"
"LPOP","75414.78","9.170","2.392","9.119","11.695","13.223","21.903"
"RPOP","75987.84","9.180","3.168","9.167","11.575","12.415","17.007"
"SADD","78369.91","8.961","5.016","8.951","11.151","11.823","14.215"
"HSET","76277.65","9.338","2.272","9.263","11.287","11.831","28.815"
"SPOP","79302.14","9.037","2.728","9.015","11.015","11.543","16.975"
"ZADD","75471.70","9.237","2.416","9.135","11.519","12.927","36.383"
"ZPOPMIN","79428.12","9.026","3.624","9.007","11.007","11.431","14.143"
"LPUSH (needed to benchmark LRANGE)","69541.03","9.726","3.896","9.559","12.775","14.351","16.783"
"LRANGE_100 (first 100 elements)","31515.91","13.240","3.504","13.471","19.311","30.735","68.543"
"LRANGE_300 (first 300 elements)","13392.26","11.035","2.256","6.927","37.823","47.423","125.823"
"LRANGE_500 (first 500 elements)","6927.61","30.245","1.936","28.015","62.175","71.039","151.807"
"LRANGE_600 (first 600 elements)","5116.92","47.771","2.568","50.175","77.887","148.479","261.631"
"MSET (10 keys)","58343.06","11.586","4.112","11.391","15.319","17.439","20.239"
"XADD","63897.76","10.504","3.792","10.327","13.911","14.863","27.519"
