"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","67249.50","10.026","3.720","9.087","16.303","19.455","29.455"
"PING_MBULK","78064.01","9.109","2.672","8.983","11.023","11.623","32.959"
"SET","76923.08","9.206","2.216","9.207","11.407","11.927","12.799"
"GET","78492.93","9.178","2.432","9.175","11.143","11.519","12.167"
"INCR","77821.02","9.215","3.912","9.199","11.207","11.639","16.039"
"LPUSH","73746.31","9.215","2.664","9.119","12.047","12.687","13.759"
"RPUSH","53219.80","13.302","2.904","10.911","23.743","38.431","129.087"
"LPOP","74074.07","9.137","4.152","9.007","12.015","12.695","17.007"
"RPOP","75414.78","9.211","3.208","9.223","11.719","12.591","17.071"
"SADD","77041.60","9.117","3.560","8.983","11.215","12.159","37.983"
"HSET","74906.37","9.004","2.464","8.863","11.743","12.495","27.071"
"SPOP","75700.23","9.339","3.768","9.175","11.439","14.719","33.567"
"ZADD","73855.24","9.144","2.320","9.047","12.103","13.183","16.543"
"ZPOPMIN","77519.38","8.949","3.616","8.823","11.215","12.223","34.463"
"LPUSH (needed to benchmark LRANGE)","69589.42","9.692","2.632","9.479","12.671","14.551","33.791"
"LRANGE_100 (first 100 elements)","29585.80","16.373","3.504","15.695","31.087","46.975","70.975"
"LRANGE_300 (first 300 elements)","8005.76","37.788","2.304","36.895","68.735","76.863","94.463"
"LRANGE_500 (first 500 elements)","4914.97","55.164","3.568","58.335","87.231","98.751","233.087"
"LRANGE_600 (first 600 elements)","4237.83","71.163","3.344","82.303","109.247","242.687","314.879"
"MSET (10 keys)","58823.53","11.434","7.040","10.711","18.191","21.983","31.951"
"XADD","64308.68","10.507","3.856","10.359","13.807","15.279","17.999"
