"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","67294.75","9.974","3.816","8.959","16.383","19.695","33.919"
"PING_MBULK","79176.56","8.739","3.592","8.679","10.991","11.855","27.487"
"SET","74682.60","9.473","2.336","9.231","11.599","20.831","32.831"
"GET","78864.35","9.148","2.224","9.127","11.119","11.463","13.007"
"INCR","78186.08","9.191","3.824","9.143","11.167","11.639","20.159"
"LPUSH","73800.73","9.118","2.504","8.959","11.943","12.703","27.583"
"RPUSH","73964.50","9.127","2.456","8.959","11.831","12.591","31.791"
"LPOP","74906.37","9.159","2.376","9.015","11.711","12.551","34.111"
"RPOP","75301.21","9.034","3.952","8.919","11.807","12.479","18.895"
"SADD","76804.91","9.253","2.696","9.103","11.207","12.719","33.439"
"HSET","77639.75","9.299","2.760","9.287","11.239","11.631","13.263"
"SPOP","78926.60","9.003","2.424","8.943","10.983","12.887","27.119"
"ZADD","76863.95","8.786","4.008","8.647","11.623","12.295","18.719"
"ZPOPMIN","80128.20","8.956","2.192","8.943","10.927","11.407","16.399"
"LPUSH (needed to benchmark LRANGE)","74962.52","9.051","2.040","8.951","11.871","12.535","13.127"
"LRANGE_100 (first 100 elements)","35149.38","14.802","2.544","14.895","18.191","38.303","65.663"
"LRANGE_300 (first 300 elements)","14432.10","8.725","2.040","6.863","27.503","46.463","114.623"
"LRANGE_500 (first 500 elements)","6123.70","40.735","2.320","43.583","64.191","70.911","151.679"
"LRANGE_600 (first 600 elements)","5197.24","47.961","2.264","49.503","76.159","151.295","266.751"
"MSET (10 keys)","61919.50","10.918","3.648","10.815","14.215","15.079","18.079"
"XADD","68634.18","9.814","3.776","9.671","12.943","13.815","19.327"
